cbsa,metro_name,yr,qtr,index_nsa,index_sa
10420,"Akron, OH",1991,1,100.00,100.00
10420,"Akron, OH",1991,2,102.33,101.09
10420,"Akron, OH",1991,3,102.19,101.43
10420,"Akron, OH",1991,4,103.11,103.12
10420,"Akron, OH",1992,1,104.55,104.53
10420,"Akron, OH",1992,2,106.81,105.53
10420,"Akron, OH",1992,3,108.25,107.42
10420,"Akron, OH",1992,4,108.69,108.75
10420,"Akron, OH",1993,1,110.06,109.95
10420,"Akron, OH",1993,2,112.55,111.30
10420,"Akron, OH",1993,3,113.76,112.80
10420,"Akron, OH",1993,4,114.23,114.40
10420,"Akron, OH",1994,1,114.32,114.08
10420,"Akron, OH",1994,2,119.58,118.38
10420,"Akron, OH",1994,3,120.05,118.97
10420,"Akron, OH",1994,4,119.87,120.06
10420,"Akron, OH",1995,1,122.11,121.77
10420,"Akron, OH",1995,2,123.86,122.72
10420,"Akron, OH",1995,3,125.30,124.17
10420,"Akron, OH",1995,4,124.69,124.85
10420,"Akron, OH",1996,1,128.66,128.26
10420,"Akron, OH",1996,2,128.82,127.70
10420,"Akron, OH",1996,3,132.19,131.07
10420,"Akron, OH",1996,4,131.21,131.20
10420,"Akron, OH",1997,1,132.11,131.80
10420,"Akron, OH",1997,2,133.05,131.91
10420,"Akron, OH",1997,3,133.86,132.75
10420,"Akron, OH",1997,4,136.04,135.84
10420,"Akron, OH",1998,1,136.46,136.36
10420,"Akron, OH",1998,2,139.61,138.35
10420,"Akron, OH",1998,3,139.99,138.89
10420,"Akron, OH",1998,4,140.56,140.10
10420,"Akron, OH",1999,1,142.99,143.23
10420,"Akron, OH",1999,2,145.84,144.34
10420,"Akron, OH",1999,3,146.46,145.32
10420,"Akron, OH",1999,4,147.53,146.95
10420,"Akron, OH",2000,1,145.96,146.41
10420,"Akron, OH",2000,2,150.21,148.58
10420,"Akron, OH",2000,3,152.08,150.83
10420,"Akron, OH",2000,4,152.28,151.70
10420,"Akron, OH",2001,1,152.01,152.53
10420,"Akron, OH",2001,2,156.49,154.82
10420,"Akron, OH",2001,3,155.65,154.20
10420,"Akron, OH",2001,4,159.14,158.74
10420,"Akron, OH",2002,1,156.55,156.99
10420,"Akron, OH",2002,2,159.90,158.23
10420,"Akron, OH",2002,3,160.28,158.67
10420,"Akron, OH",2002,4,160.99,160.76
10420,"Akron, OH",2003,1,162.65,163.00
10420,"Akron, OH",2003,2,165.00,163.29
10420,"Akron, OH",2003,3,167.30,165.51
10420,"Akron, OH",2003,4,165.82,165.81
10420,"Akron, OH",2004,1,166.76,167.05
10420,"Akron, OH",2004,2,167.98,166.21
10420,"Akron, OH",2004,3,169.66,167.72
10420,"Akron, OH",2004,4,168.70,168.84
10420,"Akron, OH",2005,1,170.55,170.92
10420,"Akron, OH",2005,2,174.89,173.02
10420,"Akron, OH",2005,3,174.26,172.06
10420,"Akron, OH",2005,4,170.89,171.03
10420,"Akron, OH",2006,1,175.80,176.64
10420,"Akron, OH",2006,2,175.09,172.96
10420,"Akron, OH",2006,3,175.77,173.43
10420,"Akron, OH",2006,4,172.51,172.36
10420,"Akron, OH",2007,1,170.97,172.55
10420,"Akron, OH",2007,2,173.31,170.86
10420,"Akron, OH",2007,3,170.66,168.39
10420,"Akron, OH",2007,4,166.34,165.69
10420,"Akron, OH",2008,1,163.91,166.26
10420,"Akron, OH",2008,2,163.40,160.80
10420,"Akron, OH",2008,3,159.97,157.82
10420,"Akron, OH",2008,4,153.18,152.19
10420,"Akron, OH",2009,1,145.22,147.85
10420,"Akron, OH",2009,2,154.43,151.76
10420,"Akron, OH",2009,3,155.09,153.13
